Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A757815,,09/07/2017 10:39:00 AM,09/07/2017 10:39:00 AM,8201 Valleydale Ct in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Raccoon,Gray/Black
A762926,Ginger,11/30/2017 10:16:00 AM,11/30/2017 10:16:00 AM,St Merryn Street in Austin (TX),Stray,Normal,Dog,Intact Female,5 years,Chihuahua Shorthair Mix,Tan
A734417,,09/06/2016 12:36:00 PM,09/06/2016 12:36:00 PM,2819 Foster Ln in Austin (TX),Stray,Normal,Cat,Unknown,3 days,Domestic Shorthair Mix,Orange Tabby
A770782,,04/25/2018 01:00:00 PM,04/25/2018 01:00:00 PM,Austin (TX),Stray,Nursing,Dog,Intact Female,0 years,Staffordshire Mix,White
A739188,Sailor,11/29/2016 10:27:00 AM,11/29/2016 10:27:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White/Gray
A702344,,05/12/2015 01:52:00 PM,05/12/2015 01:52:00 PM,5000 E Cesar Chavez in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Siamese Mix,Lynx Point
A294728,Mr Wiggles,08/01/2014 11:30:00 AM,08/01/2014 11:30:00 AM,Mesa And Ranch Road 2222 in Austin (TX),Stray,Normal,Dog,Neutered Male,11 years,Chow Chow/Labrador Retriever,Brown/Buff
A740146,Bronco,12/11/2016 04:58:00 PM,12/11/2016 04:58:00 PM,14007 Fm 812 in Travis (TX),Owner Surrender,Normal,Dog,Intact Male,6 years,Shih Tzu Mix,Black/White
A772439,*Adele,05/19/2018 03:47:00 PM,05/19/2018 03:47:00 PM,524 Tudor House in Pflugerville (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Torbie
A728805,Rainy,06/08/2016 05:47:00 PM,06/08/2016 05:47:00 PM,3308 Thompson in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Cream Tabby
A672247,Charlie,02/06/2014 01:37:00 PM,02/06/2014 01:37:00 PM,Sweeny Lane And Manor in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Maltese/Miniature Poodle,White
A687431,,09/04/2014 04:21:00 PM,09/04/2014 04:21:00 PM,7301 Metropolis Dr in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Skunk Mix,White/Black
A702201,*Odie,05/10/2015 03:43:00 PM,05/10/2015 03:43:00 PM,10409 Beard Ave in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
A647363,Daisy,01/26/2015 12:34:00 PM,01/26/2015 12:34:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Labrador Retriever Mix,White/Red
A711120,,09/02/2015 12:29:00 PM,09/02/2015 12:29:00 PM,1201 E 6Th St in Austin (TX),Stray,Normal,Cat,Unknown,1 week,Domestic Shorthair Mix,Orange Tabby
A670897,Toby,01/15/2014 03:24:00 PM,01/15/2014 03:24:00 PM,2201 Patsy Pkwy in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Australian Cattle Dog/German Shorthair Pointer,White/Tricolor
A777595,,07/31/2018 11:17:00 AM,07/31/2018 11:17:00 AM,East Avenue And Holiday Inn Boat Ramp in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Dachshund Longhair Mix,Cream
A712883,Salaria,09/29/2015 01:46:00 PM,09/29/2015 01:46:00 PM,8108 Fm 973 in Travis (TX),Stray,Normal,Dog,Spayed Female,3 years,German Shepherd Mix,Black/Brown
A682385,Kane,06/27/2014 11:24:00 AM,06/27/2014 11:24:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,3 months,Anatol Shepherd/German Shepherd,Brown/White
A664807,Lily,10/09/2013 12:30:00 PM,10/09/2013 12:30:00 PM,Lake Creek Pkwy And 620 in Austin (TX),Stray,Normal,Dog,Spayed Female,9 years,Cocker Spaniel,Chocolate/Gray
A775487,Winston,07/18/2018 06:10:00 PM,07/18/2018 06:10:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Cairn Terrier Mix,Tan
A721372,Princess,02/25/2016 03:50:00 PM,02/25/2016 03:50:00 PM,9523 North Lamar in Austin (TX),Stray,Normal,Dog,Intact Female,6 months,German Shepherd,Black/Brown
A780598,,09/17/2018 01:22:00 PM,09/17/2018 01:22:00 PM,2304 Barton Village Circle in Austin (TX),Stray,Normal,Cat,Intact Male,5 months,Domestic Shorthair Mix,Brown Tabby
A757647,142,09/04/2017 04:05:00 PM,09/04/2017 04:05:00 PM,Outside Jurisdiction,Public Assist,Normal,Dog,Spayed Female,10 years,Pit Bull Mix,Blue/White
A688677,Zoe,09/22/2014 12:30:00 PM,09/22/2014 12:30:00 PM,1800 E Stassney Ln in Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 years,Domestic Shorthair Mix,Torbie
A693068,*Luci,12/01/2014 01:01:00 PM,12/01/2014 01:01:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Manchester Terrier Mix,Tricolor
A776532,*Badger,07/15/2018 12:48:00 PM,07/15/2018 12:48:00 PM,1500 Alameda Drive in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Black
A720897,Angel,03/26/2018 03:15:00 PM,03/26/2018 03:15:00 PM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,8 years,Staffordshire Mix,White/Tan
A776139,,07/09/2018 02:38:00 PM,07/09/2018 02:38:00 PM,Austin (TX),Stray,Normal,Bird,Unknown,2 months,Duck Mix,Brown/Yellow
